,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Percentage,EU_Percentage,JP_Percentage,Other_Percentage,NA_average,EU_average,JP_average,Other_average
6243,6245,Summer Heat Beach Volleyball,PS2,2003,Sports,Acclaim Entertainment,0.14,0.11,0.0,0.04,0.28,50.0,39.29,0.0,14.29,45.39,22.9,24.42,6.48
6244,6246,NCAA Basketball 09,PS2,2008,Sports,Electronic Arts,0.14,0.11,0.0,0.04,0.28,50.0,39.29,0.0,14.29,45.39,22.9,24.42,6.48
6245,6247,One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,Wii,2008,Adventure,Namco Bandai Games,0.0,0.07,0.19,0.01,0.28,0.0,25.0,67.86,3.57,45.39,22.9,24.42,6.48
6246,6248,Marvel Super Hero Squad: The Infinity Gauntlet,Wii,2010,Action,THQ,0.22,0.04,0.0,0.02,0.28,78.57,14.29,0.0,7.14,45.39,22.9,24.42,6.48
6247,6249,Dead Rising 2: Off the Record,X360,2011,Action,Capcom,0.17,0.09,0.0,0.02,0.28,60.71,32.14,0.0,7.14,45.39,22.9,24.42,6.48
6248,6250,Power Pro Kun Pocket 3,GBA,2001,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.01,0.28,0.0,0.0,96.43,3.57,45.39,22.9,24.42,6.48
6249,6251,Myst III: Exile,PS2,2002,Adventure,Ubisoft,0.14,0.11,0.0,0.04,0.28,50.0,39.29,0.0,14.29,45.39,22.9,24.42,6.48
6250,6252,Castlevania: Aria of Sorrow,GBA,2003,Platform,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.28,71.43,25.0,0.0,0.0,45.39,22.9,24.42,6.48
6251,6253,NBA 2K12,PSP,2011,Sports,Take-Two Interactive,0.22,0.03,0.0,0.03,0.28,78.57,10.71,0.0,10.71,45.39,22.9,24.42,6.48
6252,6254,R.U.S.E.,PC,2010,Strategy,Ubisoft,0.04,0.19,0.0,0.05,0.28,14.29,67.86,0.0,17.86,45.39,22.9,24.42,6.48
6253,6255,Mobile Suit Gundam Side Story I: Senritsu no Blue,SAT,1996,Shooter,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6254,6256,Armored Core: Project Phantasma,PS,1997,Simulation,From Software,0.06,0.04,0.15,0.02,0.28,21.43,14.29,53.57,7.14,45.39,22.9,24.42,6.48
6255,6257,Donkey Kong GB: Dinky Kong & Dixie Kong,GB,2000,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6256,6258,Kobitodzukan: Kobito Kansatsu Set,3DS,2012,Misc,Nippon Columbia,0.0,0.0,0.28,0.0,0.28,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6257,6259,ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,0.26,0.0,0.0,0.02,0.28,92.86,0.0,0.0,7.14,45.39,22.9,24.42,6.48
6258,6260,Pro Evolution Soccer 2013,PSP,2012,Sports,Konami Digital Entertainment,0.0,0.07,0.18,0.03,0.28,0.0,25.0,64.29,10.71,45.39,22.9,24.42,6.48
6259,6261,Deadpool,PS4,2015,Action,Activision,0.13,0.1,0.0,0.05,0.28,46.43,35.71,0.0,17.86,45.39,22.9,24.42,6.48
6260,6262,Nichibutsu Arcade Classics,SNES,1995,Misc,Nichibutsu,0.0,0.0,0.28,0.0,0.28,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6261,6263,Kenka Bancho: Badass Rumble,PSP,2008,Action,Spike,0.06,0.0,0.2,0.01,0.27,22.22,0.0,74.07,3.7,45.39,22.9,24.42,6.48
6262,6264,Cabela's Trophy Bucks,PS2,2007,Sports,Activision Value,0.13,0.11,0.0,0.04,0.27,48.15,40.74,0.0,14.81,45.39,22.9,24.42,6.48
6263,6265,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,DS,2007,Misc,Nintendo,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6264,6266,Q-Ball: Billiards Master,PS2,2000,Sports,Take-Two Interactive,0.13,0.1,0.0,0.04,0.27,48.15,37.04,0.0,14.81,45.39,22.9,24.42,6.48
6265,6267,Mr. Do!,2600,1982,Action,Coleco,0.26,0.02,0.0,0.0,0.27,96.3,7.41,0.0,0.0,45.39,22.9,24.42,6.48
6266,6268,How to Train Your Dragon 2,Wii,2014,Adventure,Little Orbit,0.05,0.2,0.0,0.02,0.27,18.52,74.07,0.0,7.41,45.39,22.9,24.42,6.48
6267,6269,Boogie,DS,2007,Misc,Electronic Arts,0.25,0.0,0.0,0.02,0.27,92.59,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6268,6270,Tao Feng: Fist of the Lotus,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.27,77.78,22.22,0.0,3.7,45.39,22.9,24.42,6.48
6269,6271,Rapala Pro Bass Fishing 2010,PS3,2010,Sports,Activision,0.18,0.06,0.0,0.03,0.27,66.67,22.22,0.0,11.11,45.39,22.9,24.42,6.48
6270,6272,Shin Nippon Pro Wrestling: Toukon Retsuden 2,PS,1996,Fighting,Tomy Corporation,0.0,0.0,0.26,0.02,0.27,0.0,0.0,96.3,7.41,45.39,22.9,24.42,6.48
6271,6273,Dragon Ball Z: Budokai 2,GC,2004,Fighting,Atari,0.21,0.06,0.0,0.01,0.27,77.78,22.22,0.0,3.7,45.39,22.9,24.42,6.48
6273,6275,Motocross Maniacs Advance,GBA,2002,Racing,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.27,74.07,25.93,0.0,0.0,45.39,22.9,24.42,6.48
6274,6276,Resident Evil 2: Dual Shock Edition,PS,1998,Action,Capcom,0.0,0.0,0.26,0.02,0.27,0.0,0.0,96.3,7.41,45.39,22.9,24.42,6.48
6275,6277,Dynasty Warriors,PS,1997,Action,Tecmo Koei,0.09,0.06,0.11,0.02,0.27,33.33,22.22,40.74,7.41,45.39,22.9,24.42,6.48
6276,6278,M&M's Blast!,GBA,2001,Puzzle,Unknown,0.2,0.07,0.0,0.0,0.27,74.07,25.93,0.0,0.0,45.39,22.9,24.42,6.48
6277,6279,Zumba Fitness: World Party,Wii,2013,Misc,Majesco Entertainment,0.14,0.11,0.0,0.03,0.27,51.85,40.74,0.0,11.11,45.39,22.9,24.42,6.48
6278,6280,Need for Speed: Most Wanted,DS,2005,Racing,Electronic Arts,0.24,0.01,0.0,0.02,0.27,88.89,3.7,0.0,7.41,45.39,22.9,24.42,6.48
6279,6281,Final Fantasy X International,PS2,2004,Role-Playing,Square Enix,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6280,6282,Tiny Toon Adventures: Plucky's Big Adventure,PS,2001,Action,Conspiracy Entertainment,0.15,0.1,0.0,0.02,0.27,55.56,37.04,0.0,7.41,45.39,22.9,24.42,6.48
6281,6283,NHL Hitz 20-02,XB,2001,Sports,Midway Games,0.2,0.06,0.0,0.01,0.27,74.07,22.22,0.0,3.7,45.39,22.9,24.42,6.48
6282,6284,Iron Man 2,X360,2010,Action,Sega,0.15,0.1,0.0,0.03,0.27,55.56,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6284,6286,Littlest Pet Shop: Beach Friends,DS,2009,Simulation,Electronic Arts,0.25,0.0,0.0,0.02,0.27,92.59,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6285,6287,Trivial Pursuit,PS2,2009,Misc,Electronic Arts,0.09,0.01,0.0,0.17,0.27,33.33,3.7,0.0,62.96,45.39,22.9,24.42,6.48
6286,6288,Suikoden Tierkreis,DS,2008,Role-Playing,Konami Digital Entertainment,0.09,0.01,0.15,0.01,0.27,33.33,3.7,55.56,3.7,45.39,22.9,24.42,6.48
6287,6289,Evil Dead: Hail to the King,PS,2000,Adventure,THQ,0.15,0.1,0.0,0.02,0.27,55.56,37.04,0.0,7.41,45.39,22.9,24.42,6.48
6288,6290,Dragon Ball GT: Final Bout,PS,1997,Fighting,Namco Bandai Games,0.02,0.02,0.22,0.02,0.27,7.41,7.41,81.48,7.41,45.39,22.9,24.42,6.48
6289,6291,Burstrick: Wake Boarding!!,PS,2000,Sports,Natsume,0.15,0.1,0.0,0.02,0.27,55.56,37.04,0.0,7.41,45.39,22.9,24.42,6.48
6290,6292,Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,Acclaim Entertainment,0.15,0.1,0.0,0.02,0.27,55.56,37.04,0.0,7.41,45.39,22.9,24.42,6.48
6291,6293,Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.09,0.12,0.02,0.04,0.27,33.33,44.44,7.41,14.81,45.39,22.9,24.42,6.48
6292,6294,R.U.S.E.,X360,2010,Strategy,Ubisoft,0.12,0.12,0.0,0.03,0.27,44.44,44.44,0.0,11.11,45.39,22.9,24.42,6.48
6293,6295,Hatsune Miku: Project Diva f,PS3,2013,Misc,Sega,0.08,0.0,0.19,0.01,0.27,29.63,0.0,70.37,3.7,45.39,22.9,24.42,6.48
6294,6296,Resident Evil: Deadly Silence,DS,2006,Action,Capcom,0.12,0.03,0.11,0.01,0.27,44.44,11.11,40.74,3.7,45.39,22.9,24.42,6.48
6295,6297,Pac-Pix,DS,2005,Puzzle,Namco Bandai Games,0.16,0.0,0.1,0.01,0.27,59.26,0.0,37.04,3.7,45.39,22.9,24.42,6.48
6296,6298,Beamrider,2600,1984,Racing,Activision,0.26,0.01,0.0,0.0,0.27,96.3,3.7,0.0,0.0,45.39,22.9,24.42,6.48
6297,6299,EyePet,PSP,2010,Simulation,Sony Computer Entertainment,0.02,0.17,0.0,0.09,0.27,7.41,62.96,0.0,33.33,45.39,22.9,24.42,6.48
6298,6300,The Evil Within,PC,2014,Action,Bethesda Softworks,0.09,0.16,0.0,0.02,0.27,33.33,59.26,0.0,7.41,45.39,22.9,24.42,6.48
6299,6301,Athens 2004,PS2,2004,Sports,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6300,6302,Gunship,PS,1996,Simulation,Microprose,0.15,0.1,0.0,0.02,0.27,55.56,37.04,0.0,7.41,45.39,22.9,24.42,6.48
6301,6303,Jikkyou Powerful Pro Yakyuu Portable 4,PSP,2009,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6302,6304,SD Gundam G Generation Portable,PSP,2006,Strategy,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6303,6305,Sydney 2000,PS,2000,Sports,Eidos Interactive,0.15,0.1,0.0,0.02,0.27,55.56,37.04,0.0,7.41,45.39,22.9,24.42,6.48
6304,6306,Pro Race Driver,PS2,2002,Racing,Codemasters,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6305,6307,Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003,Role-Playing,Nintendo,0.21,0.05,0.0,0.01,0.27,77.78,18.52,0.0,3.7,45.39,22.9,24.42,6.48
6306,6308,Bishoujo Senshi Sailormoon R,SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6307,6309,The Club,X360,2008,Shooter,Sega,0.15,0.1,0.0,0.02,0.27,55.56,37.04,0.0,7.41,45.39,22.9,24.42,6.48
6308,6310,Slam Dunk: Yonkyo Taiketsu!!,SNES,1994,Sports,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6309,6311,Rhythm Thief & the Emperor's Treasure,3DS,2012,Misc,Sega,0.07,0.07,0.12,0.01,0.27,25.93,25.93,44.44,3.7,45.39,22.9,24.42,6.48
6310,6312,Rocky: Legends,PS2,2004,Action,Ubisoft,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6311,6313,NickToons: Racing,GBA,2002,Racing,Infogrames,0.19,0.07,0.0,0.0,0.27,70.37,25.93,0.0,0.0,45.39,22.9,24.42,6.48
6312,6314,MotionSports: Adrenaline,X360,2011,Sports,Ubisoft,0.14,0.1,0.0,0.03,0.27,51.85,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6313,6315,Tiger Woods PGA Tour 07,PSP,2006,Sports,Electronic Arts,0.2,0.04,0.0,0.04,0.27,74.07,14.81,0.0,14.81,45.39,22.9,24.42,6.48
6315,6317,NHL 07,X360,2006,Sports,Electronic Arts,0.25,0.01,0.0,0.02,0.27,92.59,3.7,0.0,7.41,45.39,22.9,24.42,6.48
6317,6319,Bridge,2600,1980,Misc,Activision,0.25,0.02,0.0,0.0,0.27,92.59,7.41,0.0,0.0,45.39,22.9,24.42,6.48
6318,6320,G-Force,PS2,2009,Action,Disney Interactive Studios,0.12,0.01,0.0,0.14,0.27,44.44,3.7,0.0,51.85,45.39,22.9,24.42,6.48
6320,6322,The Adventures of Tintin: The Game,PS3,2011,Action,Ubisoft,0.06,0.16,0.0,0.05,0.27,22.22,59.26,0.0,18.52,45.39,22.9,24.42,6.48
6321,6323,RalliSport Challenge 2,XB,2004,Racing,Microsoft Game Studios,0.18,0.08,0.0,0.01,0.27,66.67,29.63,0.0,3.7,45.39,22.9,24.42,6.48
6322,6324,Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,GB,1996,Role-Playing,ChunSoft,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6323,6325,Wave Rally,PS2,2001,Racing,Eidos Interactive,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6324,6326,Over the Hedge,GBA,2006,Platform,Activision,0.19,0.07,0.0,0.0,0.27,70.37,25.93,0.0,0.0,45.39,22.9,24.42,6.48
6325,6327,Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,0.1,0.08,0.06,0.04,0.27,37.04,29.63,22.22,14.81,45.39,22.9,24.42,6.48
6326,6328,Disney's Chicken Little,GC,2005,Platform,Disney Interactive Studios,0.21,0.05,0.0,0.01,0.27,77.78,18.52,0.0,3.7,45.39,22.9,24.42,6.48
6327,6329,Battle of Giants: Mutant Insects,DS,2010,Strategy,Ubisoft,0.09,0.15,0.0,0.03,0.27,33.33,55.56,0.0,11.11,45.39,22.9,24.42,6.48
6328,6330,Ty the Tasmanian Tiger,GC,2002,Platform,Electronic Arts,0.21,0.05,0.0,0.01,0.27,77.78,18.52,0.0,3.7,45.39,22.9,24.42,6.48
6329,6331,Sengoku Basara 4,PS3,2014,Action,Capcom,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6330,6332,Yu-Gi-Oh! The Sacred Cards (JP weekly sales),GBA,2002,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.26,0.01,0.27,0.0,0.0,96.3,3.7,45.39,22.9,24.42,6.48
6331,6333,WWE Road to WrestleMania X8,GBA,2002,Fighting,THQ,0.19,0.07,0.0,0.0,0.27,70.37,25.93,0.0,0.0,45.39,22.9,24.42,6.48
6332,6334,Medarot 3: Kabuto / Kuwagata Version,GB,2000,Role-Playing,Imagineer,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6333,6335,Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004,Role-Playing,Square Enix,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6334,6336,Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,0.08,0.14,0.0,0.05,0.27,29.63,51.85,0.0,18.52,45.39,22.9,24.42,6.48
6335,6337,NASCAR 06: Total Team Control,XB,2005,Racing,Electronic Arts,0.2,0.06,0.0,0.01,0.27,74.07,22.22,0.0,3.7,45.39,22.9,24.42,6.48
6336,6338,Bratz: The Movie,Wii,2007,Simulation,THQ,0.24,0.01,0.0,0.02,0.27,88.89,3.7,0.0,7.41,45.39,22.9,24.42,6.48
6337,6339,BloodRayne 2,PS2,2004,Shooter,THQ,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6338,6340,Spider-Man: Web of Shadows,PS3,2008,Action,Activision,0.2,0.04,0.0,0.03,0.27,74.07,14.81,0.0,11.11,45.39,22.9,24.42,6.48
6339,6341,NHL 2002,XB,2001,Sports,Electronic Arts,0.2,0.06,0.0,0.01,0.27,74.07,22.22,0.0,3.7,45.39,22.9,24.42,6.48
6340,6342,Reader Rabbit Kindergarten,DS,2008,Misc,Nordic Games,0.25,0.0,0.0,0.02,0.27,92.59,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6341,6343,Tropico 4,PC,2011,Strategy,Kalypso Media,0.1,0.13,0.0,0.04,0.27,37.04,48.15,0.0,14.81,45.39,22.9,24.42,6.48
6342,6344,NBA In The Zone '98,N64,1997,Sports,Konami Digital Entertainment,0.25,0.02,0.0,0.0,0.27,92.59,7.41,0.0,0.0,45.39,22.9,24.42,6.48
6343,6345,Jikkyou Powerful Pro Yakyuu 5,N64,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6344,6346,NBA Jam 99,N64,1998,Sports,Acclaim Entertainment,0.25,0.02,0.0,0.0,0.27,92.59,7.41,0.0,0.0,45.39,22.9,24.42,6.48
6345,6347,Shadow Man,N64,1999,Action,Acclaim Entertainment,0.18,0.08,0.0,0.01,0.27,66.67,29.63,0.0,3.7,45.39,22.9,24.42,6.48
6346,6348,Command & Conquer,N64,1999,Strategy,Nintendo,0.22,0.05,0.0,0.0,0.27,81.48,18.52,0.0,0.0,45.39,22.9,24.42,6.48
6347,6349,Call of Juarez: The Cartel,X360,2011,Shooter,Ubisoft,0.14,0.11,0.0,0.03,0.27,51.85,40.74,0.0,11.11,45.39,22.9,24.42,6.48
6348,6350,Shadow of Rome,PS2,2005,Action,Capcom,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6349,6351,Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,3DS,2012,Action,Nintendo,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6350,6352,Tales of Eternia,PSP,2005,Role-Playing,Ubisoft,0.0,0.01,0.25,0.01,0.27,0.0,3.7,92.59,3.7,45.39,22.9,24.42,6.48
6351,6353,Harry Potter and the Order of the Phoenix,PS2,2007,Action,Electronic Arts,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6352,6354,Ben 10 Triple Pack,DS,2011,Misc,D3Publisher,0.13,0.12,0.0,0.03,0.27,48.15,44.44,0.0,11.11,45.39,22.9,24.42,6.48
6353,6355,Need for Speed Rivals,PC,2013,Racing,Electronic Arts,0.04,0.19,0.0,0.04,0.27,14.81,70.37,0.0,14.81,45.39,22.9,24.42,6.48
6354,6356,Stuntman: Ignition,PS2,2007,Racing,THQ,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6355,6357,Fantastic 4,XB,2005,Action,Activision,0.2,0.06,0.0,0.01,0.27,74.07,22.22,0.0,3.7,45.39,22.9,24.42,6.48
6356,6358,Mat Hoffman's Pro BMX,GBA,2001,Sports,Activision,0.19,0.07,0.0,0.0,0.27,70.37,25.93,0.0,0.0,45.39,22.9,24.42,6.48
6357,6359,MotoGP,PS2,2000,Racing,Namco Bandai Games,0.06,0.05,0.14,0.02,0.27,22.22,18.52,51.85,7.41,45.39,22.9,24.42,6.48
6358,6360,The Penguins of Madagascar,DS,2010,Action,THQ,0.13,0.12,0.0,0.02,0.27,48.15,44.44,0.0,7.41,45.39,22.9,24.42,6.48
6359,6361,Summer Athletics: The Ultimate Challenge (US sales),Wii,2008,Sports,DTP Entertainment,0.23,0.04,0.0,0.0,0.27,85.19,14.81,0.0,0.0,45.39,22.9,24.42,6.48
6360,6362,Rock Revolution,X360,2008,Misc,Konami Digital Entertainment,0.25,0.0,0.0,0.02,0.27,92.59,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6361,6363,Etrian Odyssey II: Heroes of Lagaard,DS,2008,Role-Playing,Atlus,0.1,0.0,0.16,0.01,0.27,37.04,0.0,59.26,3.7,45.39,22.9,24.42,6.48
6362,6364,LEGO The Hobbit,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.12,0.0,0.02,0.27,48.15,44.44,0.0,7.41,45.39,22.9,24.42,6.48
6363,6365,Jikkyou Powerful Pro Yakyuu 2,SNES,1995,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6364,6366,The Incredible Hulk,PS3,2008,Action,Sega,0.22,0.03,0.0,0.03,0.27,81.48,11.11,0.0,11.11,45.39,22.9,24.42,6.48
6365,6367,Resident Evil: Revelations,X360,2013,Action,Capcom,0.12,0.11,0.02,0.02,0.27,44.44,40.74,7.41,7.41,45.39,22.9,24.42,6.48
6366,6368,Major League Baseball 2K10,Wii,2010,Sports,Take-Two Interactive,0.25,0.0,0.0,0.02,0.27,92.59,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6367,6369,NASCAR 2011: The Game,PS3,2011,Racing,Activision,0.25,0.0,0.0,0.02,0.27,92.59,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6368,6370,Thoroughbred Breeder II,SNES,1994,Simulation,Hect,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6369,6371,Shin Megami Tensei: Devil Survivor,DS,2009,Role-Playing,Atlus,0.14,0.0,0.12,0.01,0.27,51.85,0.0,44.44,3.7,45.39,22.9,24.42,6.48
6370,6372,Magical Vacation,GBA,2001,Role-Playing,Nintendo,0.0,0.0,0.26,0.01,0.27,0.0,0.0,96.3,3.7,45.39,22.9,24.42,6.48
6371,6373,XGIII: Extreme G Racing,PS2,2001,Racing,Acclaim Entertainment,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6372,6374,NBA Live 2004,GC,2003,Sports,Electronic Arts,0.21,0.05,0.0,0.01,0.27,77.78,18.52,0.0,3.7,45.39,22.9,24.42,6.48
6373,6375,Dragon Ball: XenoVerse,X360,2015,Fighting,Namco Bandai Games,0.16,0.08,0.0,0.02,0.27,59.26,29.63,0.0,7.41,45.39,22.9,24.42,6.48
6374,6376,NASCAR Thunder 2003,XB,2002,Racing,Electronic Arts,0.2,0.06,0.0,0.01,0.27,74.07,22.22,0.0,3.7,45.39,22.9,24.42,6.48
6375,6377,Section 8,X360,2009,Shooter,SouthPeak Games,0.15,0.09,0.0,0.03,0.27,55.56,33.33,0.0,11.11,45.39,22.9,24.42,6.48
6376,6378,Superbike 2000,PS,1999,Racing,Electronic Arts,0.15,0.1,0.0,0.02,0.27,55.56,37.04,0.0,7.41,45.39,22.9,24.42,6.48
6377,6379,America's Test Kitchen: Let's Get Cooking,DS,2010,Simulation,Nintendo,0.25,0.0,0.0,0.02,0.27,92.59,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6378,6380,Final Fantasy XI: Ultimate Collection,X360,2009,Role-Playing,Square Enix,0.25,0.0,0.0,0.02,0.27,92.59,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6379,6381,Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,DS,2010,Strategy,Nintendo,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6380,6382,F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.01,0.21,0.01,0.04,0.27,3.7,77.78,3.7,14.81,45.39,22.9,24.42,6.48
6381,6383,Connect Four / Perfection / Trouble,GBA,2005,Misc,Zoo Digital Publishing,0.19,0.07,0.0,0.0,0.27,70.37,25.93,0.0,0.0,45.39,22.9,24.42,6.48
6382,6384,Wipeout 2,X360,2011,Misc,Activision,0.25,0.0,0.0,0.02,0.27,92.59,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6383,6385,Ratatouille,X360,2007,Action,THQ,0.23,0.02,0.0,0.02,0.27,85.19,7.41,0.0,7.41,45.39,22.9,24.42,6.48
6384,6386,The Incredible Hulk,X360,2008,Action,Sega,0.22,0.03,0.0,0.02,0.27,81.48,11.11,0.0,7.41,45.39,22.9,24.42,6.48
6385,6387,Dora the Explorer: Dora Saves the Crystal Kingdom,Wii,2009,Misc,Take-Two Interactive,0.24,0.01,0.0,0.02,0.27,88.89,3.7,0.0,7.41,45.39,22.9,24.42,6.48
6386,6388,Alundra 2: A New Legend Begins,PS,1999,Role-Playing,Activision,0.15,0.1,0.0,0.02,0.27,55.56,37.04,0.0,7.41,45.39,22.9,24.42,6.48
6387,6389,Reign of Fire,PS2,2002,Shooter,BAM! Entertainment,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6388,6390,Scooby-Doo! and the Spooky Swamp,PS2,2010,Action,Warner Bros. Interactive Entertainment,0.08,0.11,0.0,0.08,0.27,29.63,40.74,0.0,29.63,45.39,22.9,24.42,6.48
6389,6391,Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.02,0.27,0.0,0.0,92.59,7.41,45.39,22.9,24.42,6.48
6390,6392,Ace Attorney 6,3DS,2016,Adventure,Capcom,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6391,6393,The Sims 2: Pets,GC,2006,Simulation,Electronic Arts,0.21,0.05,0.0,0.01,0.27,77.78,18.52,0.0,3.7,45.39,22.9,24.42,6.48
6392,6394,Cake Mania 2: Jill's Next Adventure!,DS,2008,Puzzle,Majesco Entertainment,0.24,0.0,0.0,0.02,0.27,88.89,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6393,6395,Batman: Arkham Origins Blackgate,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0.0,0.02,0.27,59.26,33.33,0.0,7.41,45.39,22.9,24.42,6.48
6394,6396,The BIGS,X360,2007,Sports,Take-Two Interactive,0.18,0.08,0.0,0.0,0.27,66.67,29.63,0.0,0.0,45.39,22.9,24.42,6.48
6395,6397,Initial D: Special Stage,PS2,2003,Racing,Sega,0.0,0.0,0.27,0.0,0.27,0.0,0.0,100.0,0.0,45.39,22.9,24.42,6.48
6396,6398,Madden NFL 08,DS,2007,Sports,Electronic Arts,0.24,0.0,0.0,0.02,0.27,88.89,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6397,6399,Jurassic Park: Operation Genesis,PS2,2003,Simulation,Konami Digital Entertainment,0.13,0.1,0.0,0.03,0.27,48.15,37.04,0.0,11.11,45.39,22.9,24.42,6.48
6398,6400,Family Feud: 2010 Edition,DS,2009,Misc,Ubisoft,0.25,0.0,0.0,0.02,0.27,92.59,0.0,0.0,7.41,45.39,22.9,24.42,6.48
6399,6401,Final Doom,PS,1995,Shooter,GT Interactive,0.15,0.1,0.0,0.02,0.27,55.56,37.04,0.0,7.41,45.39,22.9,24.42,6.48
